10-10-22 12:48:57.304 background-preinit    INFO o.h.v.i.util.Version                       <clinit>   21 HV000001: Hibernate Validator 6.2.3.Final
10-10-22 12:49:02.825 restartedMain         INFO efaultSecurityFilterChain                    <init>   52 Will not secure Ant [pattern='/swagger-resources/**']
10-10-22 12:49:02.826 restartedMain         WARN o.s.s.c.a.w.b.WebSecurity              performBuild  307 You are asking Spring Security to ignore Ant [pattern='/configuration/security']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
10-10-22 12:49:02.827 restartedMain         INFO efaultSecurityFilterChain                    <init>   52 Will not secure Ant [pattern='/configuration/security']
10-10-22 12:49:02.827 restartedMain         WARN o.s.s.c.a.w.b.WebSecurity              performBuild  307 You are asking Spring Security to ignore Ant [pattern='/swagger-ui.html']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
10-10-22 12:49:02.828 restartedMain         INFO efaultSecurityFilterChain                    <init>   52 Will not secure Ant [pattern='/swagger-ui.html']
10-10-22 12:49:02.829 restartedMain         WARN o.s.s.c.a.w.b.WebSecurity              performBuild  307 You are asking Spring Security to ignore Ant [pattern='/webjars/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
10-10-22 12:49:02.830 restartedMain         INFO efaultSecurityFilterChain                    <init>   52 Will not secure Ant [pattern='/webjars/**']
10-10-22 12:49:02.831 restartedMain         WARN o.s.s.c.a.w.b.WebSecurity              performBuild  307 You are asking Spring Security to ignore Ant [pattern='/health']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
10-10-22 12:49:02.832 restartedMain         INFO efaultSecurityFilterChain                    <init>   52 Will not secure Ant [pattern='/health']
10-10-22 12:49:02.832 restartedMain         WARN o.s.s.c.a.w.b.WebSecurity              performBuild  307 You are asking Spring Security to ignore Ant [pattern='/actuator']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
10-10-22 12:49:02.833 restartedMain         INFO efaultSecurityFilterChain                    <init>   52 Will not secure Ant [pattern='/actuator']
10-10-22 12:49:02.834 restartedMain         WARN o.s.s.c.a.w.b.WebSecurity              performBuild  307 You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
10-10-22 12:49:02.835 restartedMain         INFO efaultSecurityFilterChain                    <init>   52 Will not secure Ant [pattern='/actuator/**']
10-10-22 12:49:03.013 restartedMain         INFO efaultSecurityFilterChain                    <init>   55 Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3d59dbf, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@162bda37, org.springframework.security.web.context.SecurityContextPersistenceFilter@4109d336, org.springframework.security.web.header.HeaderWriterFilter@a8196b5, org.springframework.web.filter.CorsFilter@5223aaad, org.springframework.security.web.authentication.logout.LogoutFilter@14073ff2, com.cts.tweetapp.security.jwt.AuthTokenFilter@6754a63c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@115dbeeb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@62471dc6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@11837058, org.springframework.security.web.session.SessionManagementFilter@138962e4, org.springframework.security.web.access.ExceptionTranslationFilter@7540abf2, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@56b4ad49]
10-10-22 12:49:03.855 restartedMain         INFO o.a.c.h.Http11NioProtocol                       log  173 Starting ProtocolHandler ["http-nio-1234"]
10-10-22 12:49:03.882 restartedMain         INFO s.b.w.e.t.TomcatWebServer                     start  220 Tomcat started on port(s): 1234 (http) with context path ''
10-10-22 12:49:04.089 restartedMain         INFO tationPluginsBootstrapper        onApplicationEvent   84 Context refreshed
10-10-22 12:49:04.108 restartedMain         INFO tationPluginsBootstrapper        onApplicationEvent   87 Found 1 custom documentation plugin(s)
10-10-22 12:49:04.125 restartedMain         INFO piListingReferenceScanner                      scan   44 Scanning for api listing references
10-10-22 12:49:04.297 restartedMain         INFO ingOperationNameGenerator              startingWith   40 Generating unique operation named: handleUsingGET_1
10-10-22 12:49:04.300 restartedMain         INFO ingOperationNameGenerator              startingWith   40 Generating unique operation named: handleUsingGET_2
10-10-22 12:49:04.302 restartedMain         INFO ingOperationNameGenerator              startingWith   40 Generating unique operation named: handleUsingGET_3
10-10-22 12:49:04.411 restartedMain         INFO c.c.t.TweetAppApplication                logStarted   61 Started TweetAppApplication in 8.145 seconds (JVM running for 11.353)
10-10-22 12:49:05.172 nection(1)-127.0.0.1  INFO o.a.c.c.C.[.[.[/]                               log  173 Initializing Spring DispatcherServlet 'dispatcherServlet'
10-10-22 12:49:05.173 nection(1)-127.0.0.1  INFO o.s.w.s.DispatcherServlet           initServletBean  525 Initializing Servlet 'dispatcherServlet'
10-10-22 12:49:05.177 nection(1)-127.0.0.1  INFO o.s.w.s.DispatcherServlet           initServletBean  547 Completed initialization in 3 ms
